Source:,C:\Users\hughp\Documents\PROJECTS\CG22\PCBA\CG22STAGE_MODULE\CG22STAGE_MODULE\CG22STAGE_MODULE.kicad_sch,,,,,
Date:,27/01/2023 11:13,,,,,
Tool:,Eeschema (6.0.9),,,,,
Generator:,C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py,,,,,
Component Count:,25,,,,,
Ref,Qnty,Value,Cmp name,Footprint,Description,Vendor
"C1, ",1,1000U_450V,C_Polarized,Capacitor_THT:CP_Radial_D35.0mm_P10.00mm_SnapIn,Polarized capacitor,
"C2, C3, ",2,2U2_10V,C_Polarized_Small,Capacitor_THT:CP_Radial_D4.0mm_P2.00mm,"Polarized capacitor, small symbol",
"D1, ",1,SCR_70TPS12,Q_SCR_KAG,Package_TO_SOT_THT:TO-247-3_Vertical,"Silicon controlled rectifier, cathode/anode/gate",
"D2, ",1,FR607,5KPxxA,Diode_THT:D_P600_R-6_P12.70mm_Horizontal,"5000W unidirectional Transient Voltage Suppressor, P-600",
"D3, D4, ",2,1N4007,1N4007,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,"1000V 1A General Purpose Rectifier Diode, DO-41",
"J1, J5, ",2,DRILL_BAT,1935161,2 Position Wire to Board Terminal Block Horizontal with Board 0.197 (5:2 Position Wire to Board Terminal Block Horizontal with Board 0.197 (5.00mm) Through Hole,,
"J2, J6, ",2,BST_CONV,1935161,2 Position Wire to Board Terminal Block Horizontal with Board 0.197 (5:2 Position Wire to Board Terminal Block Horizontal with Board 0.197 (5.00mm) Through Hole,,
"J3, J4, ",2,2AAA_BATT,1935161,2 Position Wire to Board Terminal Block Horizontal with Board 0.197 (5:2 Position Wire to Board Terminal Block Horizontal with Board 0.197 (5.00mm) Through Hole,,
"J7, ",1,COIL,1935161,2 Position Wire to Board Terminal Block Horizontal with Board 0.197 (5:2 Position Wire to Board Terminal Block Horizontal with Board 0.197 (5.00mm) Through Hole,,
"LED1, ",1,LTA-1000HR,LTA-1000HR,LTA-1000HR:LTA-1000HR,,
"R1, R2, R3, ",3,10M,R_Small,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,"Resistor, small symbol",
"R4, ",1,3K,R_Small,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,"Resistor, small symbol",
"R5, ",1,1K,R_Small,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,"Resistor, small symbol",
"R6, R7, ",2,100R,R_Small,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,"Resistor, small symbol",
"U1, ",1,LTH-301-32,LTH-301-32,LTH-301-32:LTH-301-32,,
"U2, ",1,LM3914N,LM3914N,Package_DIP:DIP-18_W7.62mm_LongPads,"10 LED Dot/Bar Display Driver, DIP-18",
"VR1, ",1,3362P-1-504LF,3362P-1-504LF,3362P-1-504LF:3362P-1-504LF,,
