"Reference","Value","Datasheet","Footprint","Qty","DNP"
"A1,A2,A3,A4,A5,A6,A7,A8","ALS-PT19","","ALS-PT19-315C_L177_TR8:XDCR_ALS-PT19-315C_L177_TR8","8",""
"C1,C5","10uF","~","Capacitor_SMD:C_0805_2012Metric","2",""
"C2,C3","22uF","~","Capacitor_SMD:C_0805_2012Metric","2",""
"C4,C6","0.1uF","~","Capacitor_SMD:C_0805_2012Metric","2",""
"H1,H2,H3,H4,H5","MountingHole","~","-- mixed values --","5",""
"J1","Line","~","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","1",""
"J2,J3","Conn_01x19","~","Connector_PinSocket_2.54mm:PinSocket_1x19_P2.54mm_Vertical","2",""
"LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8","JB2835AWT-W-U30GA0000-N0000001","JB2835AWT-W-U30GA0000-N0000001","JB2835AWT-W-U30GA0000-N0000001:LED_J2835_CRW","8",""
"R1,R2,R3,R4,R5,R6,R7,R8","12R","~","Resistor_SMD:R_0805_2012Metric","8",""
"R9,R10,R11,R12,R13,R14,R15,R16","330R","~","Resistor_SMD:R_0805_2012Metric","8",""
"R17,R18,R19,R20,R21,R22,R23,R24","10k","~","Resistor_SMD:R_0805_2012Metric","8",""
"U1","BD33FC0FP","https://fscdn.rohm.com/en/products/databook/datasheet/ic/power/linear_regulator/bdxxfc0wefj-e.pdf","Package_TO_SOT_SMD:TO-252-2","1",""
"U2,U3","LM339","https://www.st.com/resource/en/datasheet/lm139.pdf","digikey-footprints:TSSOP-14_W4.4mm","2",""
"U4","ESP32-DEVKITC-32U","","ESP32-DEVKITC-32U:MODULE_ESP32-DEVKITC-32U","1",""
