"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C5","10uF","~","Capacitor_SMD:C_0805_2012Metric","3",""
"C3,C4","100uF","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","2",""
"D1","1N5243BTR","~","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","1",""
"D2","LED","~","LED_THT:LED_D5.0mm","1",""
"J1","Conn_01x02","~","Connector_AMASS:AMASS_XT30U-M_1x02_P5.0mm_Vertical","1",""
"J2,J3,J4","Conn_01x04","~","Connector_JST:JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical","3",""
"J8,J9","Conn_01x05","~","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","2",""
"R1,R3","4K7","~","Resistor_SMD:R_0805_2012Metric","2",""
"R2","1K","~","Resistor_SMD:R_0805_2012Metric","1",""
"U1,U2","A4988_STEPPER_MOTOR_DRIVER_CARRIER","","A4988_STEPPER_MOTOR_DRIVER_CARRIER:MODULE_A4988_STEPPER_MOTOR_DRIVER_CARRIER","2",""
"U3","ESP32-DEVKITC","","ESP32-DEVKITC:MODULE_ESP32-DEVKITC","1",""
"U5","uA7805","http://www.ti.com/lit/ds/symlink/ua78.pdf","Package_TO_SOT_SMD:TO-263-3_TabPin2","1",""
"U6","Adafruit IMU BNO055","","Adafruit IMU BNO055:Adafruit IMU BNO055","1",""
