"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C5","10uF","~","Capacitor_SMD:C_0805_2012Metric","3",""
"C3,C4","100uF","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","2",""
"D1","D_Zener","~","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","1",""
"D2","LED","~","LED_THT:LED_D5.0mm","1",""
"J1","Conn_01x02","~","toroid-kicad:Deans","1",""
"J2,J3,J14","Conn_01x04","~","-- mixed values --","3",""
"J4","+SW","~","SparkFun-Connector:1x01","1",""
"J5","-SW","~","SparkFun-Connector:1x01","1",""
"J6","+SWLED","~","SparkFun-Connector:1x01","1",""
"J7","-SWLED","~","SparkFun-Connector:1x01","1",""
"J8,J9","Conn_01x05","~","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","2",""
"J10,J11,J12,J13","Conn_01x08","~","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","4",""
"J15","Conn_01x06","~","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","1",""
"J16,J17","Conn_01x19","~","Connector_PinSocket_2.54mm:PinSocket_1x19_P2.54mm_Vertical","2",""
"R2","1K","~","Resistor_SMD:R_0805_2012Metric","1",""
"U1,U2","A4988_STEPPER_MOTOR_DRIVER_CARRIER","","A4988_STEPPER_MOTOR_DRIVER_CARRIER:MODULE_A4988_STEPPER_MOTOR_DRIVER_CARRIER","2",""
"U3","ESP32-DEVKITC","","ESP32-DEVKITC:MODULE_ESP32-DEVKITC","1",""
"U4","NCP1117-5.0_SOT223","http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"U6","Adafruit IMU BNO055","","Adafruit IMU BNO055:Adafruit IMU BNO055","1",""
