"Reference","Value","Datasheet","Footprint","Qty","DNP"
"BT1,BT2","Battery_Cell","~","Battery:BatteryHolder_Keystone_2468_2xAAA","2",""
"C1,C2","10uF","~","Capacitor_SMD:C_0805_2012Metric","2",""
"J2","-SW","~","Connector_Wire:SolderWire-1.5sqmm_1x01_D1.7mm_OD3mm","1",""
"J3","+SW","~","Connector_Wire:SolderWire-1.5sqmm_1x01_D1.7mm_OD3mm","1",""
"J4","+SWLED","~","Connector_Wire:SolderWire-1.5sqmm_1x01_D1.7mm_OD3mm","1",""
"J5","-SWLED","~","Connector_Wire:SolderWire-1.5sqmm_1x01_D1.7mm_OD3mm","1",""
"R1,R2,R4,R9","200R","~","Resistor_SMD:R_0805_2012Metric","4",""
"R3,R5,R6,R8,R13,R14","10K","~","Resistor_SMD:R_0805_2012Metric","6",""
"U1,U11","THB001P","","THB001P:CNK_THB001P","2",""
"U2,U3,U4,U5","~","","MX1A-11NN:Cherry_MX_3mmLED","4",""
"U6","NCP1117-5.0_SOT223","http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"U7","ESP32-DEVKITC","","ESP32-DEVKITC:MODULE_ESP32-DEVKITC","1",""
